latitude,longitude,error_m,bathymetry
41.339231108266304,-70.54668212921581,5.978042812301877,-10.198470916232555
41.33922365106108,-70.54672285617248,5.9056163253457665,-10.213960692886047
41.339214568253155,-70.54676112737349,5.889932946013355,-10.230046576326773
41.339197408857196,-70.54681144186729,5.901858725914683,-10.254673624600438
41.339184365927586,-70.54685816486291,5.909940131560088,-10.276669273623966
41.33915935339822,-70.5469112369845,5.917161737282583,-10.3081777285115
41.33914421123367,-70.54695900575159,5.9212012107435825,-10.333154297416526
41.33912636595524,-70.54700731341097,5.914373737328884,-10.360560167475573
41.339110151634856,-70.54704922732054,5.957905233727005,-10.38534083842345
41.33909668798416,-70.54709321690159,5.938079265698289,-10.409751811661096
41.33908625290462,-70.54713044010893,5.914086975014452,-10.43020432050759
41.33906824848646,-70.54717917032451,5.902337434383907,-10.460193439680571
41.33905374362084,-70.54722908056492,5.832740430092789,-10.489056712461695
41.33903928441332,-70.54727875367671,5.837855267635169,-10.518349759209702
41.33902285230532,-70.54732859200499,5.839359414972136,-10.549539017885406
41.33901493702039,-70.5473699157213,5.80252330839014,-10.572006983797763
41.33900072328484,-70.5474105256863,5.868240033100062,-10.598693437157204
41.338983845128034,-70.54745514946434,5.786392358803385,-10.629294333284765
41.338976412794175,-70.54748624289702,5.767018837872484,-10.647873305317605
41.3389569181676,-70.54754280582435,5.738168729218778,-10.686267042631542
41.33894089318728,-70.5475934659431,5.707335330174998,-10.720039536768654
41.33892417145208,-70.54764307674479,5.7026790427005665,-10.753314613667145
41.338916635495494,-70.54768709927009,5.680031607160377,-10.777036973234258
41.33890284711863,-70.5477372516396,5.664664952358766,-10.806455843947447
41.338896593507094,-70.54777936823643,5.676674717646902,-10.82659501274156
41.33888144866392,-70.54782121749886,5.673034810585973,-10.851219362041252
41.33887438698068,-70.54786560438683,5.6578138472291055,-10.873679163451106
41.33885689241516,-70.54791495626169,5.623209035060274,-10.908111032285886
41.33884561033245,-70.54795573072154,5.614934152555795,-10.936572251697244
