global_sample,global_start,global_end,orig_rms_db,filt_rms_db,rms_diff_db
9953527,9935527,9967527,133.366290156692,130.06866619940385,3.2976239572881525
9979479,9961479,9993479,131.1282400337491,122.93366314694583,8.194576886803276
10005129,9987129,10019129,131.7774097788445,125.52148658675776,6.255923192086726
10031480,10013480,10045480,130.69901797460778,122.91553031761238,7.783487656995405
10056757,10038757,10070757,130.93117992963528,123.06555682125878,7.8656231083764965
10082527,10064527,10096527,130.97481019744245,121.78419929584123,9.190610901601218
10108515,10090515,10122515,131.13078888654786,120.92671730058439,10.204071585963476
10133415,10115415,10147415,131.6157917457043,123.55382007048533,8.061971675218985
10160020,10142020,10174020,131.47777546288302,124.08600236571992,7.391773097163096
10185852,10167852,10199852,132.7434685982106,128.67853113082913,4.064937467381469
10211776,10193776,10225776,131.1175469618052,123.52044700120518,7.597099960600019
10237631,10219631,10251631,130.98275728178933,123.31136753598713,7.671389745802202
10263750,10245750,10277750,130.75426655009505,120.8917905672262,9.862475982868858
10289644,10271644,10303644,130.3621913331936,120.89348747214792,9.468703861045682
10315567,10297567,10329567,130.73016773516215,121.64816815940227,9.08199957575988
10341700,10323700,10355700,130.27616537083105,119.7835721636583,10.492593207172746
10367664,10349664,10381664,130.81945169455034,124.17650344629507,6.642948248255266
10393643,10375643,10407643,132.55101234067516,129.67491546252444,2.876096878150719
10419354,10401354,10433354,130.73694434624113,121.3023711114211,9.434573234820036
10445952,10427952,10459952,130.25671947296996,121.1585463829617,9.09817309000826
10472416,10454416,10486416,130.1704090919165,121.17545882062404,8.994950271292453
10498527,10480527,10512527,130.0243895838448,119.90094557013842,10.123444013706376
10525048,10507048,10539048,130.430790962014,118.89838828626577,11.532402675748216
10550908,10532908,10564908,130.3412538613284,120.7733891900263,9.567864671302104
10577374,10559374,10591374,132.5663992779144,129.79902987704003,2.7673694008743723
10603476,10585476,10617476,130.52730660776456,119.20710360750289,11.320203000261671
10629097,10611097,10643097,130.59838507017287,122.45859468969982,8.139790380473045
10655048,10637048,10669048,130.7837857428479,121.75528984401622,9.028495898831679
10682209,10664209,10696209,130.26762471580486,119.7490182510942,10.518606464710658
10708479,10690479,10722479,130.2196776615718,120.0597041152204,10.15997354635141
10734285,10716285,10748285,130.5925377694238,121.0788678963494,9.51366987307442
10759614,10741614,10773614,132.8883181356289,129.00469367371417,3.883624461914735
10784773,10766773,10798773,133.03039208267188,128.7619895744933,4.268402508178582
10809772,10791772,10823772,130.76478408841453,121.51535398638067,9.249430102033855
10834837,10816837,10848837,130.3496571852661,121.86584430085645,8.483812884409645
10860315,10842315,10874315,131.4470843134692,123.07350429898582,8.373580014483366
10885772,10867772,10899772,130.75078764798818,120.39990905052306,10.350878597465112
10910389,10892389,10924389,131.66035453506984,125.03888424694809,6.621470288121756
10935785,10917785,10949785,131.5056290017769,126.08627583532544,5.419353166451458
10960233,10942233,10974233,134.91754613072118,132.76389795790865,2.153648172812524
10986498,10968498,11000498,130.80828132971232,119.63696523532754,11.171316094384778
11010769,10992769,11024769,130.60106374624735,120.88129430089994,9.71976944534741
11036160,11018160,11050160,130.87613522718112,122.00698124439475,8.869153982786372
11061261,11043261,11075261,130.11962537611723,120.76828450354148,9.351340872575747
11086558,11068558,11100558,130.22935005162066,121.07078693580743,9.158563115813223
11113132,11095132,11127132,129.77588980824393,121.86667804679311,7.90921176145082
11137783,11119783,11151783,129.65121684396604,121.38731880835982,8.263898035606218
11952682,11934682,11966682,131.96732215921563,128.2835078450951,3.683814314120525
11977566,11959566,11991566,130.39156988737173,121.97188523058493,8.4196846567868
12002528,11984528,12016528,130.47985128864119,120.36639746990849,10.113453818732694
12027392,12009392,12041392,130.7523218830747,121.94486984245016,8.80745204062454
12052176,12034176,12066176,130.58311542701688,122.69982845446471,7.88328697255217
12077826,12059826,12091826,130.6096974624556,121.86841203110548,8.741285431350136
12102547,12084547,12116547,129.76636479586884,120.40313331985203,9.363231476016807
12127155,12109155,12141155,134.1965177707269,131.97296232250915,2.223555448217752
12151860,12133860,12165860,131.04412474950152,125.06682086981814,5.977303879683376
12176982,12158982,12190982,130.47687260744345,121.55750216484421,8.919370442599245
12201715,12183715,12215715,129.9673127096438,120.34708479531814,9.620227914325667
12227438,12209438,12241438,130.2471499537852,120.48757379346968,9.759576160315518
12250794,12232794,12264794,131.342054013963,121.76926238233136,9.572791631631645
